epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1526.58,1.48666,3.82929,1.23334,0.55085,0.35102,0.38183,0.22127,1.63747,2.79597,1.31074,0.000664083,0.000664083,0.000664083
2,3712.97,1.59622,2.18768,1.36023,0.71636,0.34171,0.41262,0.25032,1.57966,2.38886,1.23923,0.00119901,0.00119901,0.00119901
3,4742.9,1.62968,1.79989,1.39611,0.41419,0.3594,0.32032,0.17615,1.75151,2.33612,1.47288,0.00160193,0.00160193,0.00160193
4,5431.73,1.57499,1.69237,1.35799,0.50947,0.42924,0.42333,0.24042,1.57255,1.53403,1.24432,0.001406,0.001406,0.001406
5,5996.49,1.57624,1.51016,1.36787,0.63178,0.473,0.51594,0.30708,1.54593,2.20155,1.2561,0.001208,0.001208,0.001208
6,6563.54,1.46485,1.36774,1.28875,0.69212,0.50863,0.53272,0.29556,1.64249,1.7215,1.34823,0.00101,0.00101,0.00101
7,7113.04,1.33479,1.28002,1.19017,0.759,0.50186,0.59622,0.37091,1.39894,1.3268,1.17324,0.000812,0.000812,0.000812
8,8567.72,1.32475,1.30065,1.19118,0.72238,0.53166,0.58378,0.37263,1.364,1.38673,1.17616,0.000614,0.000614,0.000614
9,9143.15,1.24574,1.11814,1.167,0.77628,0.554,0.63272,0.40324,1.32351,1.2913,1.12242,0.000416,0.000416,0.000416
10,9722.84,1.20642,1.05237,1.14602,0.74969,0.56797,0.65786,0.43305,1.24606,1.17946,1.09059,0.000218,0.000218,0.000218
