epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,915.726,1.50961,3.34293,1.33925,0.49383,0.49508,0.40469,0.1984,1.45837,3.0441,1.26189,0.000664083,0.000664083,0.000664083
2,1880.24,1.59689,1.84028,1.40386,0.6149,0.42924,0.4808,0.26339,1.56932,2.50201,1.32196,0.0013044,0.0013044,0.0013044
3,2877.13,1.63419,1.86409,1.41777,0.63184,0.4041,0.48114,0.2572,1.60166,2.50168,1.36774,0.00191832,0.00191832,0.00191832
4,3877.65,1.60208,1.84124,1.41105,0.64348,0.43575,0.51377,0.29444,1.47912,2.07088,1.22407,0.0018812,0.0018812,0.0018812
5,7318.19,1.56788,1.62241,1.40875,0.68445,0.53445,0.60328,0.37613,1.35296,1.76518,1.21501,0.0018416,0.0018416,0.0018416
6,8105.67,1.52876,1.57653,1.31595,0.67792,0.44879,0.49659,0.2711,1.53745,1.90153,1.37492,0.001802,0.001802,0.001802
7,8936.11,1.52566,1.56876,1.37239,0.76586,0.55121,0.64298,0.39375,1.35977,2.08557,1.20702,0.0017624,0.0017624,0.0017624
8,9759.69,1.41712,1.53964,1.30318,0.74219,0.50838,0.60768,0.38231,1.30296,1.72823,1.1845,0.0017228,0.0017228,0.0017228
9,10762.1,1.40993,1.42311,1.28625,0.71114,0.45903,0.51383,0.31538,1.61406,2.42031,1.61705,0.0016832,0.0016832,0.0016832
10,11842.2,1.38065,1.34184,1.28303,0.76229,0.57728,0.65549,0.39214,1.37592,1.49849,1.19357,0.0016436,0.0016436,0.0016436
